,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code)
0,2019 Silver 350 Transit DW HD High Roof Ecoboost Van,84000.0,"Panama City Beach, Florida, United States",2019,Transit,28084.0,2WD,Clean,Automatic,Gasoline,32.0,148.0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1,"One of a Kind Ford Transit 350 AWD. Boat inspired carpentry, Tilting Solar, Hidden Recirculating Shower.",190000.0,"San Diego, California, United States",2021,Transit,3500.0,AWD,Clean,Automatic,Gasoline,22.0,148.0,2,4,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2,2021 Sprinter,99800.0,"Portland, Oregon, United States",2021,Sprinter,3000.0,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,2016 Sprinter 170,72000.0,"10 Via Vecino, Santa Fe, New Mexico 87506, United States",2016,Sprinter,46000.0,2WD,Clean,Automatic,Diesel,24.0,170.0,2,2,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4,4x4 144 Mercedes sprinter,154000.0,"Grass Valley, California, United States",2019,Sprinter,10000.0,4WD,Clean,Automatic,Diesel,16.0,144.0,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
5,SKOOLIANA 5 WINDOW WHEEL CHAIR DOOR SHORT BUS,45000.0,"Eugene, Oregon, United States",2003,Other,162000.0,2WD,Clean,Automatic,Diesel,19.571429,,1,4,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
6,Adventure Camper Van has it all! - Ready to Travel!,45900.0,"Roanoke Rapids, North Carolina 27870, United States",2016,Promaster,108500.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,4,3,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2
7,Fully Loaded Luxury Tiny Home on Wheels,144500.0,"Denver, Colorado, United States",2021,Sprinter,119.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
8,Van Life Chicago 2021 Ram Promaster - 8020 Build,89500.0,"3240 West Lake Avenue, Glenview, Illinois 60026, United States",2021,Promaster,18200.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,4,2,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
9,2017 Mercedes 2500 Sprinter 4x4 (Delivered New in Aug 2018),99500.0,"Hermosa Beach, California, United States",2017,Sprinter,21000.0,4WD,Clean,Automatic,Diesel,18.790219,144.0,3,3,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1
10,NEW BUILD Ford Transit van conversion,69000.0,"San Diego, California, United States",2018,Transit,65000.0,2WD,Clean,Automatic,Gasoline,18.009009,,2,2,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
