,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Cooler,Exterior Lights,Fresh Water Tank (Portable),Inverter,Refrigerator,Roof Fan,Roof Rack,Sink,Solar,Tow Winch,Towing Package,USB port,Bike Rack,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Heater / Furnace,Oven,Security System,Shower (Indoor),Shower (Outdoor),Stove,Toilet,Water Heater,Water Pump,Awning,Electric windows,Microwave,Offroad Lights,Offroad Tires,Skylight,Suspension Mods,TV,Propane,Heated seats,Generator,Child Seat,Shower
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True
3,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
4,True,True,True,True,False,True,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
5,True,False,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
6,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
7,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
8,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False
9,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True
10,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
11,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True
12,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True
13,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False
14,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True
15,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
16,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True
17,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
18,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,False,True
20,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
22,True,True,False,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True
23,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
24,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
25,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
26,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
28,True,False,True,False,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
29,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
30,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
31,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True
32,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,False,True,True
33,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
34,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
35,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
36,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False
37,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True
38,True,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False
39,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,True,True,True,False,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False
41,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,False,False,False,True
42,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
43,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True
44,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
45,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True
46,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True
47,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True
48,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True
49,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True
