,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Offroad Tires,Refrigerator,Roof Fan,Sink,Solar,Stove,USB port,Water Pump,Bike Rack,Heater / Furnace,Microwave,Shower (Indoor),Toilet,Water Heater,Awning,Fresh Water Tank (Portable),Heated seats,Inverter,Offroad Lights,Roof Rack,Security System,Shower (Outdoor),Suspension Mods,Tow Winch,Towing Package,Cooler,TV,Fuel Efficiency (Highway),Generator,Oven,Propane,Child Seat,Skylight,Handicap / Wheelchair Conversion
0,Custom made Pro Master Camper Van,72500.0,"Denver, Colorado, United States",2016,Dodge Promaster 2500 High Roof,71096,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"The Hygge...Cute & Comfy! Dually Off Grid Campervan, Sleeps 3",99000.0,"Mustang, Oklahoma 73064, United States",2017,Ford Transit 148 Extended Hightop EcoBoost Dually,28000,2WD,Clean,Automatic,Gasoline,,2,3,True,True,,True,,True,,True,,,True,,True,True,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2,Mountains To Coast 4x4,149000.0,"Colorado, United States",2018,Ford Transit,35000,4WD,Clean,Automatic,Gasoline,,4,4,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,
3,(Brand New Build) 2019 RAM Promaster 2500 159” WB (SPOT AVAILABLE FOR NEW BUILD),110000.0,"Dallas, Texas, United States",2019,2019 RAM PROMASTER 2500,22380,2WD,Clean,Automatic,Gasoline,159.0,2,3,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,,True,True,True,True,True,,True,,True,,True,,,,True,True,,,,,,,
4,The Perfect 4x4,85000.0,"Arizona, United States",2016,Mercedes Sprinter 4x4,48800,4WD,Clean,Automatic,Diesel,,5,4,True,True,True,True,True,True,True,,,True,,,,,,True,,,,,,,,,,True,True,True,True,True,,,,True,,,,,,,,,
5,2021 Ram Promaster City Weekender,39500.0,"107 Diversified Dr, Villa Ridge, Missouri 63089, United States",2021,Ram Promaster,38,2WD,Clean,Automatic,Gasoline,15.0,2,2,True,True,True,True,True,,True,,,,True,True,True,True,,True,,,,,,,,,True,,True,,True,,,,True,True,True,,32.0,,,,,,
6,Sprinter 2021 - New Conversion,99800.0,"Portland, Oregon, United States",2021,Sprinter 2500,3000,2WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,True,,True,,True,True,True,True,,True,True,,True,,,,,,True,True,True,True,True,,True,,,True,,,23.0,,,,,,
7,"Rare Vintage 1976 GMC Coachmen 24' Fuel-Injected, Solar-powered Motorhome- Price Reduced!!",27500.0,"San Francisco, California, United States",1976,GMC Coachmen Leprechaun Vandura G3500,104000,2WD,Clean,Automatic,Gasoline,,2,5,,True,,True,,,True,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,,,,True,,True,,True,10.0,True,True,True,,,
8,2019 Sprinter 170 4x4 Off Grid!,129000.0,"Oxnard, California, United States",2019,Mercedes Sprinter 170wb 4x4,32000,4WD,Lien,Automatic,Diesel,170.0,3,4,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,,True,,,True,True,True,,,True,True,,,,,True,,,True,,,,
9,4x4 144 Mercedes sprinter,149000.0,"Grass Valley, California, United States",2019,Mercedes sprinter 144 4x4,10000,4WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,,,True,True,True,,,True,True,True,True,True,True,True,True,True,,,,,,,,
10,Fully Loaded Luxury Tiny Home on Wheels,144500.0,"Denver, Colorado, United States",2021,Mercedes Sprinter,119,2WD,Clean,Automatic,Diesel,144.0,2,2,True,,True,True,True,True,,True,,,True,True,True,True,True,True,True,,True,,True,True,True,,,,True,,,True,,,,True,,,,,,,,,
11,2015 Promaster Diesel w/ inside SHOWER,66500.0,"Durango, Colorado, United States",2015,Dodge Promaster 3500,168000,2WD,Clean,Automatic,Diesel,159.0,2,2,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,,True,,True,,True,True,True,,True,,True,,,True,,True,True,True,19.0,,True,True,,,
